체험마을명,시도명,시군구명,체험프로그램구분,체험프로그램명,보유시설정보,체험휴양마을면적,체험휴양마을사진,소재지도로명주소,소재지지번주소,대표자명,대표전화번호,지정일자,홈페이지주소,관리기관명,위도,경도,데이터기준일자
부윤2리어촌체험휴양마을,경상남도,남해군,어촌생활체험,기타,,,,경상남도 남해군 창선면 흥선로1852번길 35,,박주선,,2015-06-24,,한국어촌어항공단,34.8449091,128.0370711,2025-08-27
다맥어촌체험휴양마을,경상남도,사천시,어촌생활체험,바지락캐기체험+쏙잡이체험+굴따기체험,교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20190927/4F0418B0824049579D6F0C08DF22415D.jpg,경상남도 사천시 서포면 다평로 2,,박정식,055-853-8555,2015-06-24,http://www.다맥어촌체험마을.kr/,한국어촌어항공단,34.97992034,127.9434773,2025-08-27
비토어촌체험휴양마을,경상남도,사천시,레포츠+기타,좌대낚시+오토캠핑,교육장+주차장+샤워실,,https://www.seantour.kr/newseantour/upload/attach/village/20211124/VLAGE_801417939586500.jpg,경상남도 사천시 서포면 거북길 447,,강윤근,055-853-8859,2022-10-25,bitoseom.co.kr,한국어촌어항공단,34.96727704,127.9721548,2025-08-27
고현어촌체험휴양마을,경상남도,창원시,어촌생활체험+레포츠,바지락 체험+통발체험+선상낚시체험,주차장+샤워실+개수대+개수대,,,경상남도 창원시 마산합포구 진동면 미더덕로 358-163,,정규건,055-271-8579,2015-11-01,http://www.고현어촌체험마을.kr/,한국어촌어항공단,35.10013934,128.4815269,2025-08-27
거북이행복어촌체험휴양마을,경상남도,창원시,어촌생활체험+만들기체험,바지락캐기+통발체험+바지락 수제비 만들기,실내체험장+교육장+주차장+체험센터,,,경상남도 창원시 마산합포구 구산면 해양관광로 1638,,강중식,055-241-3780,2015-11-01,http://www.거북이행복마을.kr/,한국어촌어항공단,35.08290132,128.570214,2025-08-27
유동어촌체험휴양마을,경상남도,통영시,레포츠+어촌생활체험,생활낚시+문어통발체험+카약타기,실내체험장+교육장+주차장+쉼터+샤워실+샤워장,,https://www.seantour.kr/newseantour/upload/license/image/20190930/22A0FBC5E81147E8984EA5CBBF445E31.jpg,경상남도 통영시 욕지면 유동길 108,,황연복,055-641-2233,2017-02-01,http://www.유동어촌체험마을.kr/,한국어촌어항공단,34.62004984,128.2429568,2025-08-27
하도어촌체험휴양마을,제주특별자치도,제주시,어촌생활체험+레포츠,해녀물질 체험+바릇 잡이+대나무낚시,교육장+주차장+탈의실+샤워장,,https://www.seantour.kr/newseantour/upload/license/image/20191001/0B1BBCE2746D42ACAF8DD2F3C608BBD8.jpg,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,,한성홍,064-783-3075,2015-06-01,http://www.하도어촌체험마을.kr/,한국어촌어항공단,33.52003061,126.9040516,2025-08-27
김녕어촌체험휴양마을,제주특별자치도,제주시,어촌생활체험,기타,,,https://www.seantour.kr/newseantour/upload/attach/village/20240802/VLAGE_25800693783556088.jpg,제주특별자치도 제주시 구좌읍 김녕항1길 50-11,,이창협,064-784-2880,2022-10-01,http://www.김녕어촌체험마을.kr/,한국어촌어항공단,33.55819136,126.7404093,2025-08-27
연명어촌체험휴양마을,경상남도,통영시,어촌생활체험,갯가 체험,주차장+쉼터,,https://www.seantour.kr/newseantour/upload/license/image/20190930/8D22A252563F434CAA1854F6C841C758.jpg,경상남도 통영시 산양읍 연명길 134(통영시 산양읍 연화리 437-1),,김석철,055-642-2345,2015-02-01,http://www.연명어촌체험마을.kr/,한국어촌어항공단,34.78133586,128.3947191,2025-08-27
궁항어촌체험휴양마을,경상남도,통영시,어촌생활체험+레포츠,바지락채취체험+바다낚시체험+스노쿨링,주차장+샤워장+탈의실+쉼터+세족장,,https://www.seantour.kr/newseantour/upload/license/image/20190926/DFBA6C362B704823B308AED6A62E7216.jpg,경상남도 통영시 산양읍 궁항길 46-8,,김재현,055-648-1048,2009-04-13,http://www.궁항어촌체험마을.kr/,한국어촌어항공단,34.81097491,128.381864,2025-08-27
예곡어촌체험휴양마을,경상남도,통영시,어촌생활체험,바지락캐기,교육장+주차장+샤워실+세족장+탈의실+쉼터+정자쉼터,,https://www.seantour.kr/newseantour/upload/license/image/20190930/4D3DB69C11BD4EADB10DA8C445B2B160.jpg,경상남도 통영시 한산면 추봉로 375,,김순표,055-649-8861,2015-09-08,http://www.예곡어촌체험마을.kr/,한국어촌어항공단,34.75620649,128.5391034,2025-08-27
학림섬어촌체험휴양마을,경상남도,통영시,어촌생활체험,바지락캐기체험+선상낚시체험+전생어부통발체험,,,https://www.seantour.kr/newseantour/upload/attach/village/20231013/VLAGE_412950956161131.png,경상남도 통영시 산양읍 학림길 95,,김천영,,2022-10-27,http://www.학림섬어촌체험마을.kr/,한국어촌어항공단,34.74794501,128.4072478,2025-08-27
세어도어촌체험휴양마을,인천광역시,서구,어촌생활체험+어촌생활체험+어촌생활체험,세어도둘레길체험+바지락캐기+선상낚시,교육장+주차장,,https://www.seantour.kr/newseantour/upload/license/image/20190930/4BA21DFEC3864EFD9B76221A7FAD781F.jpg,인천광역시 서구 세어로 29,,홍영복,,2015-08-28,http://www.세어도어촌체험마을.kr/,한국어촌어항공단,37.57252692,126.5667437,2025-08-27
이작어촌체험휴양마을,인천광역시,옹진군,어촌생활체험+어촌생활체험+어촌생활체험,바지락 캐기+풀등키트만들기+맨손체험,실내체험장+교육장+주차장,,https://www.seantour.kr/newseantour/upload/attach/village/20211124/VLAGE_802103479862600.jpg,인천광역시 옹진군 자월면 대이작로70번길 3-8,,강차병,,2015-09-01,,한국어촌어항공단,37.17651631,126.2536375,2025-08-27
선재어촌체험휴양마을,인천광역시,옹진군,어촌생활체험+레포츠,"조개,게,낚지잡기체험+낚시체험",교육장+주차장+체험센터,6600,https://www.seantour.kr/newseantour/upload/attach/village/20211101/VLAGE_414961515491200.jpg,인천광역시 옹진군 영흥면 선재로34번길 64,,나창훈,032-888-3110,2017-10-17,http://www.선재체험마을.com/,한국어촌어항공단,37.23333148,126.537551,2025-08-27
영암어촌체험휴양마을,인천광역시,옹진군,어촌생활체험,조개캐기체험,주차장+체험안내소,,https://www.seantour.kr/newseantour/upload/attach/village/20211124/VLAGE_801751297805200.jpg,인천광역시 옹진군 영흥면 영흥서로446번길 46,,김정태,032-888-5633,2015-05-29,http://www.영흥도갯벌체험.kr/,한국어촌어항공단,37.28247362,126.457438,2025-08-27
장봉어촌체험휴양마을,인천광역시,옹진군,어촌생활체험,기타,,,https://www.seantour.kr/newseantour/upload/attach/village/20240712/VLAGE_23987235915218498.jpg,인천광역시 옹진군 북도면 장봉로26번길 68-15,,정연희,,2020-03-19,,한국어촌어항공단,37.53687683,126.3808209,2025-08-27
모도리어촌체험휴양마을,인천광역시,옹진군,어촌생활체험,갯벌체험,,,https://www.seantour.kr/newseantour/upload/attach/village/20240903/VLAGE_28575946390493814.png,인천광역시 옹진군 북도면 모도로 78,,신향자,,2020-04-28,http://www.모도리어촌체험마을.kr,한국어촌어항공단,37.53426645,126.4109654,2025-08-27
자월어촌체험휴양마을,인천광역시,옹진군,어촌생활체험,기타,,,https://www.seantour.kr/newseantour/upload/attach/village/20240712/VLAGE_23988058098448679.jpg,인천광역시 옹진군 자월면 자월서로186번길 26,,김은영,,2020-04-23,,한국어촌어항공단,37.25466642,126.3046045,2025-08-27
연평어촌체험휴양마을,인천광역시,옹진군,어촌생활체험,기타,,,,인천광역시 옹진군 연평면 연평로312번길 12,,김응석,,2013-12-11,,한국어촌어항공단,37.67161257,125.711122,2025-08-27
큰무리어촌체험휴양마을,인천광역시,중구,어촌생활체험+어촌생활체험+어촌생활체험,바지락 캐기+해루질체험+오두막체험,주차장,,https://www.seantour.kr/newseantour/upload/license/image/20191001/404A771941584B0D917B96D66187D8E4.jpg,,인천광역시 중구 무의동 298-1,차영주,032-751-0310,2016-02-23,http://www.큰무리어촌체험마을.kr/,한국어촌어항공단,37.40895483,126.4137541,2025-08-27
포내어촌체험휴양마을,인천광역시,중구,어촌생활체험+만들기체험,조개캐기체험+소라화분만들기,실내체험장+교육장+주차장+체험센터,,,인천광역시 중구 대무의로 301번길 19-16,,이영석,032-752-5422,2016-01-28,http://www.포내어촌체험마을.kr,한국어촌어항공단,37.39036111,126.4288795,2025-08-27
유포어촌체험휴양마을,경상남도,남해군,어촌생활체험+만들기체험,개막이체험+바지락조개잡기체험+어묵만들기체험,실내체험장+교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20190930/C28052AE577C4A8D9AA65655F51EAC0E.jpg,경상남도 남해군 서면 남서대로2381번길 60,,원현호,055-862-0735,2014-06-02,http://www.유포어촌체험마을.kr/,한국어촌어항공단,34.86191578,127.8148807,2025-08-27
설리어촌체험휴양마을,경상남도,남해군,레포츠+어촌생활체험,유어장바지체험+바다낚시터-바지+통발체험,교육장+주차장+탈의실+샤워장,,https://www.seantour.kr/newseantour/upload/license/image/20190930/16611C9D6D1B48A684B36D697691B36B.jpg,경상남도 남해군 미조면 미송로303번길 75-12,,김귀영,,2015-11-30,http://www.설리어촌체험마을.kr/,한국어촌어항공단,34.70443987,128.0269266,2025-08-27
전도어촌체험휴양마을,경상남도,남해군,어촌생활체험+어촌생활체험,바지락캐기체험+쏙잡기체험,주차장+체험센터,,https://www.seantour.kr/newseantour/upload/attach/village/20211116/VLAGE_112399921298200.jpg,경상남도 남해군 삼동면 동부대로1662번길 18-8,,김종식,,2021-01-14,http://jeondo.kr/,한국어촌어항공단,34.83155803,128.020231,2025-08-27
오이도어촌체험휴양마을,경기도,시흥시,어촌생활체험,동죽캐기,교육장,,https://www.seantour.kr/newseantour/upload/license/image/20190930/560E6DC823CB4DAEA626061F71A67D09.jpg,경기도 시흥시 오이도로135번길 39,,당인상,031-319-0205,2018-06-05,http://www.오이도어촌체험마을.kr/,한국어촌어항공단,37.34486964,126.6882792,2025-08-27
종현어촌체험휴양마을,경기도,안산시,어촌생활체험+어촌생활체험,바지락캐기체험+건강망체험,주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20191001/0E218921B3A64EDBB28622D2B24BFBD2.jpg,경기도 안산시 단원구 구봉길 240 (대부북동),,김부열,032-886-6044,2020-02-07,http://www.종현어촌체험마을.kr/,한국어촌어항공단,37.2804767,126.5476447,2025-08-27
선감어촌체험휴양마을,경기도,안산시,어촌생활체험+레포츠+기타,바지락캐기체험+망둥어낚시+고구마캐기체험,실내체험장+교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20190930/36ADD949C4D2497689111798799EFEAA.jpg,경기도 안산시 단원구 개건너길 78(선감동),,신동진,032-886-6133,2020-08-04,http://www.선감어촌체험마을.kr/,한국어촌어항공단,37.22057181,126.6299122,2025-08-27
풍도어촌체험휴양마을,경기도,안산시,어촌생활체험+어촌생활체험+어촌생활체험,게잡기체험+고동잡기+둘레길 걷기체험,교육장+주차장,,https://www.seantour.kr/newseantour/upload/attach/village/20211117/VLAGE_174177562125400.jpg,경기도 안산시 단원구 풍도길 10-1,,민영일,032-858-3317,2018-11-02,http://www.풍도어촌체험마을.kr/,한국어촌어항공단,37.11296083,126.3926855,2025-08-27
흘곶어촌체험휴양마을,경기도,안산시,어촌생활체험+어촌생활체험,모시조개캐기+독살체험,주차장,,https://www.seantour.kr/newseantour/upload/attach/village/20211105/VLAGE_778191631707300.jpg,경기도 안산시 단원구 대남로 618,,이규득,032-891-3116,2011-11-28,http://www.흘곶어촌체험마을.kr/,한국어촌어항공단,37.20600726,126.5494125,2025-08-27
전곡리어촌체험휴양마을,경기도,화성시,레포츠+어촌생활체험+어촌생활체험,망둥어 낚시+독살체험+고동/게잡기,교육장+주차장,,https://www.seantour.kr/newseantour/upload/license/image/20191001/85D5AFEAED8A41E38E716C426278595F.jpg,경기도 화성시 서신면 전곡항로14번길 1-16,,한경배,031-357-7837,2015-11-18,,한국어촌어항공단,37.18631297,126.6530248,2025-08-27
제부리어촌체험휴양마을,경기도,화성시,어촌생활체험+어촌생활체험,바지락캐기체험+쏙잡이체험,주차장+체험센터,,,경기도 화성시 서신면 해안길 421-12,,최병천,031-357-7828,2015-11-18,http://www.제부어촌체험마을.kr/,한국어촌어항공단,37.17817518,126.6224184,2025-08-27
궁평리어촌체험휴양마을,경기도,화성시,어촌생활체험+레포츠+레포츠,조개캐기체험+망둥어체험+모터보터체험,실내체험장+교육장+주차장+궁평하루정원,,https://www.seantour.kr/newseantour/upload/license/image/20190926/435B9AEF30B242F083F4477B67A5EE73.jpg,경기도 화성시 서신면 궁평항로 1069-11,,김진삼,031-356-7339,2014-05-22,http://www.궁평어촌체험마을.kr/,한국어촌어항공단,37.11615806,126.683374,2025-08-27
백미리어촌체험휴양마을,경기도,화성시,어촌생활체험+레포츠+어촌생활체험,조개캐기+망둥어낚시체험+조개캐기체험,"실내체험장+교육장+주차장+백미리주민센터+B&B하우스+교육장,식당,숙박시설",,https://www.seantour.kr/newseantour/upload/license/image/20190927/D8C324BF63314F73BF169E7F9EB99064.jpg,경기도 화성시 서신면 백미길 210-35,,김호연,031-357-3379,2016-04-14,http://www.백미리어촌체험마을.kr/,한국어촌어항공단,37.14347282,126.6801406,2025-08-27
대항어촌체험휴양마을,부산광역시,강서구,기타,연계운영,교육장+주차장,425000,https://www.seantour.kr/newseantour/upload/license/image/20200812/391FB9257AE548B2AC36F2463C064CB0.jpg,부산광역시 강서구 가덕해안로1207번길 9-2,,김영석,,2015-07-16,http://www.대항어촌체험마을.kr/,한국어촌어항공단,35.01166822,128.8276603,2025-08-27
공수어촌체험휴양마을,부산광역시,기장군,어촌생활체험+만들기체험+기타,후릿그물+장아찌만들기+조간대 체험,실내체험장+교육장+주차장+샤워장+탈의실+샤워장,,https://www.seantour.kr/newseantour/upload/license/image/20190926/540D346EB9934B779CC410754AA44EBD.jpg,부산광역시 기장군 기장읍 공수1길18,,안정구,051-713-1919,2015-05-14,http://www.공수어촌체험마을.kr/,한국어촌어항공단,35.18340197,129.2117619,2025-08-27
동삼어촌체험휴양마을,부산광역시,영도구,레포츠+만들기체험+만들기체험,유어장좌대낚시+곰피비누만들기+곰피어묵만들기,실내체험장+교육장+주차장,,https://www.seantour.kr/newseantour/upload/license/image/20190927/53007F0E412D484DA5D812E95B95FE4B.jpg,부산광역시 영도구 하리해안길 17-5(동삼동),,강양석,051-405-0207,2019-03-14,http://www.동삼어촌체험마을.kr/,한국어촌어항공단,35.06978487,129.0812787,2025-08-27
오호어촌체험휴양마을,강원특별자치도,고성군,레포츠,선상낚시,교육장+주차장+낚시객 디기 편의시설,,https://www.seantour.kr/newseantour/upload/license/image/20190930/4FE39E8C661546B08A3396A52D57428E.jpg,강원특별자치도 고성군 죽왕면 심층수길 40-20,,이상인,033-631-2552,2016-06-21,http://www.오호어촌체험마을.kr/,한국어촌어항공단,38.32695344,128.5288403,2025-08-27
거진어촌체험휴양마을,강원특별자치도,고성군,레포츠+레포츠,투명카누+스노클링 +선상낚시,교육장+주차장+계류장+탑승장+매표소/승객대기실 연계,,https://www.seantour.kr/newseantour/upload/license/image/20200818/D0EB9A61AF464474983F6134E1A0E89B.jpg,강원특별자치도 고성군 거진읍 거진항1길 59,,황동수,033-682-2782,2019-05-31,http://www.거진어촌체험마을.kr/,한국어촌어항공단,38.44751926,128.463868,2025-08-27
대포어촌체험휴양마을,강원특별자치도,속초시,어촌생활체험,기타,,,,강원특별자치도 속초시 대포항희망길 43,,이영철,033-631-9991,2014-12-24,,한국어촌어항공단,38.17265876,128.6068235,2025-08-27
삼척장호어촌체험휴양마을,강원특별자치도,삼척시,레포츠,투명카누체험 +스노클링,주차장+체험안내소,,,강원특별자치도 삼척시 근덕면 장호항길 111,,김동호,,2014-12-24,http://www.삼척장호어촌체험마을.kr/,한국어촌어항공단,37.28812472,129.3176145,2025-08-27
갈남어촌체험휴양마을,강원특별자치도,삼척시,레포츠+만들기체험,스노클링+투명카누+가리비.조개체험,교육장+주차장+매표소,,https://www.seantour.kr/newseantour/upload/license/image/20190926/B4AA743B3E094D1D9DD7311145CD2E4E.jpg,강원특별자치도 삼척시 원덕읍 갈남길 62-5,,김순일,,2016-03-23,,한국어촌어항공단,37.27984898,129.3256747,2025-08-27
궁촌어촌체험휴양마을,강원특별자치도,삼척시,레포츠,스노클링체험+투명카누체험,교육장+주차장+어촌계회센타,,,강원특별자치도 삼척시 근덕면 궁촌해변길 140-27,,김규수,033-575-2175,2016-06-07,http://www.궁촌어촌체험마을.kr/,한국어촌어항공단,37.32739174,129.2689001,2025-08-27
장사어촌체험휴양마을,강원특별자치도,속초시,어촌생활체험+레포츠,오징어 맨손잡기 및 시식 체험+배낚시체험+보트체험,실내체험장+교육장+주차장+체험마을안내센터+어촌계펜션+숙박시설,,https://www.seantour.kr/newseantour/upload/license/image/20190930/6E125C7E3D264B4982AD291542A618D0.jpg,강원특별자치도 속초시 장사항 해안길 45,,허부호,033-632-9796,2016-11-18,http://www.장사어촌체험마을.kr/,한국어촌어항공단,38.22551276,128.5882854,2025-08-27
청호어촌체험휴양마을,강원특별자치도,속초시,어촌생활체험,기타,,,https://www.seantour.kr/newseantour/upload/attach/village/20240712/VLAGE_23988194484210641.jpg,강원특별자치도 속초시 설악금강대교로 109,,김영식,033-635-1847,2019-06-05,,한국어촌어항공단,38.19975946,128.5938611,2025-08-27
진목어촌체험휴양마을,강원특별자치도,양구군,어촌생활체험,어부체험,교육장+주차장,,https://www.seantour.kr/newseantour/upload/license/image/20200818/E11429A489264630A6AB1E8AD7E23C56.jpg,강원특별자치도 양구군 양구읍 소양호로 2522,,이광배,,2013-11-21,http://www.진목어촌체험마을.kr/,한국어촌어항공단,38.04150436,127.9687879,2025-08-27
남애어촌체험휴양마을,강원특별자치도,양양군,어촌생활체험+레포츠+만들기체험,맨손물고기잡기체험+어선승성체험+오징어순대 만들기체험,실내체험장+교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20190926/2F351204F207463B9ABC3504DB9AFC48.jpg,강원특별자치도 양양군 현남면 매바위길 127,,이종해,033-672-3624,2016-04-29,http://www.남애어촌체험마을.kr/,한국어촌어항공단,37.94456446,128.7861442,2025-08-27
마시안어촌체험휴양마을,인천광역시,중구,어촌생활체험+어촌생활체험+어촌생활체험,조개캐기+맨손고기잡기체험(독살)+마차체험(썰매체험),교육장+주차장,,https://www.seantour.kr/newseantour/upload/attach/village/20211116/VLAGE_112918938344000.jpg,인천광역시 중구 마시란로 107-8,,김원수,032-746-3093,2013-04-09,http://www.masian.co.kr/,한국어촌어항공단,37.43162037,126.4169832,2025-08-27
주전어촌체험휴양마을,울산광역시,동구,어촌생활체험+어촌생활체험+레포츠,맨손체험+해녀체험+선상낚시체험,실내체험장+교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20191002/8D0CE9B826F546979C554876C305EDA0.jpg,울산광역시 동구 주전해안길 137,,강원보,052-209-0111,2016-04-27,http://www.주전어촌체험마을.kr/,한국어촌어항공단,35.55843976,129.457919,2025-08-27
우가어촌체험휴양마을,울산광역시,북구,레포츠+레포츠,투명카누체험+스노쿨링체험,주차장+체험안내소,,https://www.seantour.kr/newseantour/upload/license/image/20190930/2C579E75A8F54FAF849ED07A9559430E.png,,울산광역시 북구 당사동 143-1,김기태,052-293-2009,2021-04-05,http://www.우가어촌체험마을.kr/,한국어촌어항공단,35.59418616,129.4627214,2025-08-27
삽시도어촌체험휴양마을,충청남도,보령시,어촌생활체험,바지락체험+소라잡기체험+낚지잡기체험,교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20200818/1FB79438DAB847F4A8B96A13EEB1D04C.jpg,충청남도 보령시 오천면 삽시도1길 213,,강동회,041-936-0825,2012-02-09,http://www.삽시도어촌체험마을.kr/,한국어촌어항공단,36.35132803,126.363439,2025-08-27
군헌어촌체험휴양마을,충청남도,보령시,어촌생활체험,바지락캐기체험,주차장,400000,https://www.seantour.kr/newseantour/upload/attach/village/20211119/VLAGE_325382061906600.png,충청남도 보령시 해안로 607-5,,최종인,0507-1400-418,2010-04-16,http://www.군헌어촌체험마을.kr/,한국어촌어항공단,36.3369616,126.5331937,2025-08-27
중리어촌체험휴양마을,충청남도,서산시,어촌생활체험+기타+만들기체험,바지락캐기체험+깡통열차타기체험+감태 초콜렛 만들기체험,실내체험장+교육장+주차장+어민행복관,,,충청남도 서산시 지곡면 어름들2길 66,,박현규,041-665-9498,2012-09-12,http://www.중리어촌체험마을.kr/,한국어촌어항공단,36.88040246,126.3845439,2025-08-27
왕산어촌체험휴양마을,충청남도,서산시,어촌생활체험+만들기체험,바지락 캐기+감태비누만들기,교육장+주차장,10000,https://www.seantour.kr/newseantour/upload/attach/village/20211108/VLAGE_1012715909800400.jpg,충청남도 서산시 지곡면 왕산이로 667-10,,김종배,041-662-7118,2014-12-29,http://www.왕산어촌체험마을.kr/,한국어촌어항공단,36.87316575,126.3700295,2025-08-27
월하성어촌체험휴양마을,충청남도,서천군,어촌생활체험,"바지락, 동죽 캐기",실내체험장+교육장+주차장,,https://www.seantour.kr/newseantour/upload/license/image/20190930/9377F37F717F4FE8B78765ECB2E256B0.jpg,충청남도 서천군 서면 월하성길 96,,최병혁,,2022-02-24,http://www.월하성어촌체험마을.kr/,한국어촌어항공단,36.13294484,126.5622997,2025-08-27
선도리어촌체험휴양마을,충청남도,서천군,어촌생활체험+만들기체험,"바지락캐기,굴따기체험+맛조개,동죽캐기체험+추억새기기체험",교육장+주차장+체험안내소+먹거리체험장+농수산물 판매장+판매장식당+회의실,,,충청남도 서천군 비인면 갯벌체험로 428-13,,박선순,041-952-5212,2018-11-14,https://seondori.com/,한국어촌어항공단,36.13285186,126.5828138,2025-08-27
용신어촌체험휴양마을,충청남도,태안군,어촌생활체험,바지락 캐기,주차장,,https://www.seantour.kr/newseantour/upload/attach/village/20240213/VLAGE_11016149633970566.jpg,충청남도 태안군 근흥면 용도로 470-91,,윤명상,041-673-0401,2015-08-25,http://www.용신어촌체험마을.kr/,한국어촌어항공단,36.70582661,126.2390094,2025-08-27
병술만어촌체험휴양마을,충청남도,태안군,어촌생활체험,바지락캐기체험,주차장+체험안내실+매점,,https://www.seantour.kr/newseantour/upload/license/image/20190927/D3CC611393714D46AD63AA02F5F12F7D.jpg,,충청남도 태안군 안면읍 중장리 1655-2,김재복,041-673-6191,2022-10-20,http://www.병술만어촌체험마을.kr/,한국어촌어항공단,36.47331108,126.3442883,2025-08-27
만대어촌체험휴양마을,충청남도,태안군,어촌생활체험,바지락 캐기,주차장,,https://www.seantour.kr/newseantour/upload/license/image/20190927/5AD6CE2DC15B44108CACC4DD7CB8B10E.jpg,충청남도 태안군 이원면 원이로 2394,,김진묵,,2014-12-10,http://www.만대어촌체험마을.kr/,한국어촌어항공단,36.93275584,126.3033634,2025-08-27
송석해의마을어촌체험휴양마을,충청남도,서천군,어촌생활체험,기타,,,,충청남도 서천군 마서면 송신로 707,,이상진,,2014-12-10,,한국어촌어항공단,36.07730186,126.6205002,2025-08-27
소돌어촌체험휴양마을,강원특별자치도,강릉시,레포츠+만들기체험+어촌생활체험,카누체험+커피만들기체험+물고기 맨손잡기체험,실내체험장+교육장+주차장+어촌계복지회관,,https://www.seantour.kr/newseantour/upload/license/image/20190930/15F1A5A49653486D8BFE9D0F2FD9FF99.jpg,강원특별자치도 강릉시 주문진읍 해안로1968-6,,마광열,033-662-6492,2016-04-14,http://www.소돌어촌체험마을.kr/,한국어촌어항공단,37.90519598,128.829793,2025-08-27
